source;intermediate;destination;with_ixp;percentage;total_paths;provider;avg_path_length;avg_latency;destination_countries;ids
3209: Vodafone Germany;(13194: UAB "Bite Lietuva");14061: DigitalOcean;1;0.178;562;DigitalOcean;6.0;('DE', 64.0);('DE', 1);[414470]
3209: Vodafone Germany;(199284: ThüringenDSL/encoLine);14061: DigitalOcean;1;0.178;562;DigitalOcean;6.0;('DE', 36.5);('DE', 1);[527107]
3209: Vodafone Germany;(8422: NetCologne);14061: DigitalOcean;1;0.178;562;DigitalOcean;4.0;('NL', 27.5);('NL', 1);[632596]
3209: Vodafone Germany; ;15169: Google LLC;0;88.768;276;Google;11.73;('DE', 38.375),('NL', 44.984),('BE', 48.988),('CH', 51.354),('GB', 65.017);('DE', 64),('NL', 62),('CH', 48),('BE', 42),('GB', 29);[4150, 4162, 4165, 4177, 4182, 4210, 4214, 4215, 4233, 4290, 4296, 4305, 43281, 43318, 43322, 43334, 43343, 43358, 43383, 55411, 55414, 55433, 55435, 55442, 55464, 55476, 55483, 55500, 55501, 55511, 55532, 88466, 88475, 88478, 88480, 88520, 88536, 88602, 88605, 152169, 152196, 152207, 152209, 152215, 152219, 152227, 152228, 152229, 152248, 152252, 152279, 152303, 152305, 152311, 214115, 214121, 214123, 214127, 214128, 214142, 214145, 214150, 214162, 214263, 214264, 214272, 214277, 214293, 214302, 214310, 214317, 214322, 214327, 214330, 214346, 214351, 278377, 278380, 278386, 278396, 278404, 278420, 278424, 278452, 278468, 278485, 278487, 343635, 343652, 343665, 343667, 343680, 343697, 343701, 343709, 343712, 343713, 343718, 343726, 343727, 343731, 343739, 343743, 343749, 343752, 343756, 343757, 343785, 343792, 343793, 343795, 343798, 343800, 343811, 343818, 343823, 343832, 390230, 390234, 390239, 390243, 390251, 390257, 390259, 390275, 390277, 390284, 390317, 390329, 390331, 390336, 390338, 390361, 390362, 390374, 390380, 390397, 390398, 390406, 390426, 390431, 458201, 458207, 458213, 458219, 458326, 458327, 458328, 458331, 458340, 458341, 458343, 458346, 458364, 458416, 458422, 458433, 458438, 458442, 458447, 458456, 458478, 458483, 458489, 458496, 458499, 458514, 458520, 526894, 526908, 526937, 526941, 526953, 526954, 526967, 526970, 526972, 527017, 527025, 527035, 527043, 527080, 527093, 527096, 527097, 527098, 527099, 632236, 632250, 632255, 632258, 632259, 632275, 632280, 632283, 632286, 632306, 632315, 632323, 632325, 632327, 632328, 632329, 632332, 632333, 632334, 632335, 632336, 632343, 632347, 632348, 632349, 632350, 632352, 632355, 632356, 632359, 632362, 632384, 632385, 632388, 632395, 632407, 632416, 632435, 632437, 632441, 632446, 632448, 632458, 632465, 632469, 632475, 632480, 632741, 632742, 632744, 632745, 632746, 632747, 632748, 632749, 632759, 632766, 634355]
3209: Vodafone Germany;(3320: Deutsche Telekom);15169: Google LLC;0;5.072;276;Google;10.07;('CH', 27.5),('DE', 37.75),('NL', 41.3),('BE', 47.0),('GB', 68.5);('NL', 5),('DE', 4),('BE', 3),('GB', 1),('CH', 1);[4203, 4223, 4310, 88545, 152256, 214291, 343636, 343765, 526940, 527023, 632253, 632307, 632769, 653353]
3209: Vodafone Germany;(9009: M247), (3356: Level 3 AS 3356);15169: Google LLC;0;1.449;276;Google;11.75;('DE', 91.5),('NL', 92.0),('BE', 93.0),('CH', 100.0);('BE', 1),('CH', 1),('DE', 1),('NL', 1);[307144, 307148, 307156, 307158]
3209: Vodafone Germany;(8881: 1&1 Versatel Deutschland GmbH);15169: Google LLC;0;1.087;276;Google;11.0;('DE', 38.0),('GB', 42.75);('GB', 2),('DE', 1);[214350, 278382, 343820]
3209: Vodafone Germany;(12430: Vodafone España);15169: Google LLC;0;0.725;276;Google;8.5;('GB', 72.0),('CH', 79.5);('CH', 1),('GB', 1);[479798, 479830]
3209: Vodafone Germany;(6830: Liberty Global), (33915: Vodafone Libertel B.V.), (6830: Liberty Global);15169: Google LLC;0;0.725;276;Google;11.5;('BE', 24.0),('CH', 27.0);('BE', 1),('CH', 1);[642730, 642846]
3209: Vodafone Germany;(9009: M247);15169: Google LLC;0;0.362;276;Google;12.0;('GB', 48.0);('GB', 1);[390434]
3209: Vodafone Germany;(6830: Liberty Global);15169: Google LLC;0;0.362;276;Google;11.0;('BE', 33.0);('BE', 1);[632237]
3209: Vodafone Germany;(8400: TSSRB - Telekom Srbija);15169: Google LLC;0;0.362;276;Google;10.0;('DE', 45.5);('DE', 1);[654428]
3209: Vodafone Germany;(8893: Artfiles New Media);15169: Google LLC;1;0.362;276;Google;14.0;('GB', 29.5);('GB', 1);[390439]
3209: Vodafone Germany;(9158: Telenor Denmark);15169: Google LLC;1;0.362;276;Google;11.0;('BE', 53.0);('BE', 1);[417991]
3209: Vodafone Germany;(6805: Telefónica Germany GmbH & Co. OHG);15169: Google LLC;1;0.362;276;Google;10.0;('DE', 37.5);('DE', 1);[458357]
